fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
2,1,base5y,fwd2,ridge,real,31024,2919,0.09010575269306578,0.06715114002407428,0.007782709760811859,0.09794357567434675,0.22816032887975335,,,,,
2,1,base5y,fwd2,ridge,shuffle,31024,2919,0.028055869032042945,-0.014749006699185373,-0.021541498500736365,-0.016176103069386962,0.2182254196642686,,,,,
2,1,base5y,fwd2,hgb,real,31024,2919,0.5437253780996509,0.050358727977777726,0.000634094852152439,-0.0006494182336266977,0.24289140116478247,,,,,
2,1,base5y,fwd2,hgb,shuffle,31024,2919,0.5455800868995734,-0.010508072701418887,0.0021489327034768047,-0.1309133328381871,0.16786570743405277,,,,,
2,1,base5y,fwd4,ridge,real,31024,2919,0.11281124473292764,0.08259530606536475,0.043262483874230595,0.16267932478478245,0.2394655704008222,,,,,
2,1,base5y,fwd4,ridge,shuffle,31024,2919,0.019434782593723474,-0.02741509658215171,-0.06887077459269707,-0.11972113944862169,0.17129153819801302,,,,,
2,1,base5y,fwd4,hgb,real,31024,2919,0.566821597059057,0.048206465322049245,0.0031362516965475567,-0.002226702104646608,0.263103802672148,,,,,
2,1,base5y,fwd4,hgb,shuffle,31024,2919,0.5535562344041219,-0.02759396530262944,-0.06326559506463984,-0.12291056035143501,0.1778006166495375,,,,,
2,1,base5y,fwd8,ridge,real,31024,2919,0.12896019252180507,0.040486303410751996,0.037619058705223134,0.12079072755187703,0.2552243919150394,,,,,
2,1,base5y,fwd8,ridge,shuffle,31024,2919,0.02076749954581558,-0.025465294461053382,-0.12109486104073999,-0.35895177006150736,0.20589242891401166,,,,,
2,1,base5y,fwd8,hgb,real,31024,2919,0.6035128264229079,0.03153015742510486,-0.05692712679922043,-0.1813333075105168,0.22439191503939707,,,,,
2,1,base5y,fwd8,hgb,shuffle,31024,2919,0.5679532894990971,-0.027104392223697725,-0.05747287133645525,-0.17964692487070633,0.16204179513532033,,,,,
2,1,base5y,br_canon_long,logit,real,31024,2919,,,,,,0.5714969038071626,0.5342574811400826,0.4501541623843782,0.5238095238095238,0.1366906474820144
2,1,base5y,br_canon_long,logit,shuffle,31024,2919,,,,,,0.5180336336888536,0.5044614195555177,0.4501541623843782,0.4440677966101695,0.10106200753682767
2,1,base5y,br_canon_long,hgb,real,31024,2919,,,,,,0.8719447809415681,0.5496787531354168,0.4501541623843782,0.4794952681388013,0.10859883521754025
2,1,base5y,br_canon_long,hgb,shuffle,31024,2919,,,,,,0.881139561638833,0.4945523170078284,0.4501541623843782,0.5164835164835165,0.06235011990407674
2,1,base5y,br_canon_short,logit,real,31024,2919,,,,,,0.5713571337131153,0.5365878391125533,0.5340870161014046,0.5771144278606966,0.06885919835560124
2,1,base5y,br_canon_short,logit,shuffle,31024,2919,,,,,,0.518437930888487,0.5012484435724258,0.5340870161014046,0.5231788079470199,0.10346008907159986
2,1,base5y,br_canon_short,hgb,real,31024,2919,,,,,,0.8724519280134524,0.5382164283288684,0.5340870161014046,0.5621301775147929,0.0578965399109284
2,1,base5y,br_canon_short,hgb,shuffle,31024,2919,,,,,,0.8813785706237066,0.49129768328113804,0.5340870161014046,0.5104602510460251,0.08187735525865023
2,1,base5y,br_modal_long,logit,real,31024,2919,,,,,,0.6622992844018772,0.5396846846846847,0.04933196300102775,0.059670781893004114,0.16649537512846865
2,1,base5y,br_modal_long,logit,shuffle,31024,2919,,,,,,0.5292854050102584,0.4357432432432432,0.04933196300102775,0.02669902912621359,0.14114422747516273
2,1,base5y,br_modal_long,hgb,real,31024,2919,,,,,,0.9857754366272665,0.5045595595595596,0.04933196300102775,0.059233449477351915,0.09832134292565947
2,1,base5y,br_modal_long,hgb,shuffle,31024,2919,,,,,,0.9758423464931791,0.5196021021021021,0.04933196300102775,0.061371841155234655,0.09489551216169921
2,1,base5y,br_modal_short,logit,real,31024,2919,,,,,,0.6224146925829186,0.58034779112429,0.13497773210003425,0.15012106537530268,0.14148681055155876
2,1,base5y,br_modal_short,logit,shuffle,31024,2919,,,,,,0.5262455265677884,0.4825028898828969,0.13497773210003425,0.09130434782608696,0.07879410757108599
2,1,base5y,br_modal_short,hgb,real,31024,2919,,,,,,0.9856991360601889,0.4980007036236619,0.13497773210003425,0.10683760683760683,0.08016443987667009
2,1,base5y,br_modal_short,hgb,shuffle,31024,2919,,,,,,0.9731983415238393,0.4639895461627381,0.13497773210003425,0.13934426229508196,0.08359027064063035
3,1,base5y,fwd2,ridge,real,30959,2893,0.0866649942824314,0.04553087748009772,0.030187982377821544,0.06001667543952513,0.23608710680954026,,,,,
3,1,base5y,fwd2,ridge,shuffle,30959,2893,0.02566357792493877,-0.01383853354782841,-0.013394744771677366,0.037827814810856356,0.24403733148980297,,,,,
3,1,base5y,fwd2,hgb,real,30959,2893,0.5457158350354677,0.016903563391061978,0.03201298910382383,0.0267157571556851,0.29519529899758035,,,,,
3,1,base5y,fwd2,hgb,shuffle,30959,2893,0.5489990371155505,-0.023273761973851094,-0.027621417530492368,-0.05080532300827997,0.2208779813342551,,,,,
3,1,base5y,fwd4,ridge,real,30959,2893,0.11349476127781957,0.03689504179100118,0.05637617525206172,0.18310692551595675,0.23746975458002073,,,,,
3,1,base5y,fwd4,ridge,shuffle,30959,2893,0.03526455956465881,0.010629871978766975,0.005967403344085704,0.021214592716804016,0.26650535776011064,,,,,
3,1,base5y,fwd4,hgb,real,30959,2893,0.5666669918529036,0.03756785853590337,0.06322664435207907,0.06457052664317545,0.3394400276529554,,,,,
3,1,base5y,fwd4,hgb,shuffle,30959,2893,0.5523320524004197,-0.020862655522733718,-0.04654603970771719,-0.11946835091232161,0.21949533356377463,,,,,
3,1,base5y,fwd8,ridge,real,30959,2893,0.12629328857501207,0.011294687140068385,-0.0336471043311095,0.24671281131793024,0.27307293466989285,,,,,
