fold,era,feature,ic_oos
10,2,upper_wick_ratio,0.019637111631567675
10,2,lower_wick_ratio,-0.043661197527892624
10,2,ret1_atr,-0.009305066277631736
10,2,ret2_atr,-0.006340818022737071
10,2,ret3_atr,0.007770130100682203
10,2,ret4_atr,0.007961800936503583
10,2,ret5_atr,0.003447436373319562
10,2,tod_sin,0.013024401000745062
10,2,tod_cos,-0.03769104025861928
10,2,dow_sin,-0.029479675812229083
10,2,dow_cos,-0.04690835228698055
10,2,session_asia,-0.025709458354343705
10,2,session_london,0.03348668802469254
10,2,session_newyork,-0.00548137052711647
10,2,session_london_ny_overlap,0.0026737774057638596
11,2,close_ema20_atr,-0.04321363929092925
11,2,close_ema50_atr,-0.014848054899077437
11,2,close_ema200_atr,0.006914580880152607
11,2,ema20_ema50_atr,0.015702251423516497
11,2,macd_hist_atr,-0.058020001814789224
11,2,roc20_atr,-0.0014169802823286448
11,2,atr_close,-0.01666434085002667
11,2,atr_fast_slow,0.04429799127089881
11,2,bb_width_close,0.0037027735818346034
11,2,range_atr,-0.051697660125619285
11,2,upper_wick_ratio,0.04064857540518343
11,2,lower_wick_ratio,-0.05106400374169986
11,2,ret1_atr,-0.03265302756161181
11,2,ret2_atr,-0.04527557362214049
11,2,ret3_atr,-0.03796420485513715
11,2,ret4_atr,-0.02873089071790021
11,2,ret5_atr,-0.03825188712288436
11,2,tod_sin,-0.003455645818319112
11,2,tod_cos,0.1412796435208731
11,2,dow_sin,0.01362077226267749
11,2,dow_cos,0.07024504767953678
11,2,session_asia,0.05340465260165578
11,2,session_london,-0.10222466639155892
11,2,session_newyork,-0.022408842004652756
11,2,session_london_ny_overlap,-0.05678735276479532
12,2,close_ema20_atr,0.021643520629110454
12,2,close_ema50_atr,0.04193705792333493
12,2,close_ema200_atr,0.03952578483550138
12,2,ema20_ema50_atr,0.052804951759049444
12,2,macd_hist_atr,-0.009669074368994524
12,2,roc20_atr,0.011921525460489557
12,2,atr_close,-0.021639021166285834
12,2,atr_fast_slow,-0.005028098685276455
12,2,bb_width_close,-0.000735145127525682
12,2,range_atr,0.008872586012593121
12,2,upper_wick_ratio,0.014617163553189545
12,2,lower_wick_ratio,-0.05066887753192122
12,2,ret1_atr,0.016221485377290096
12,2,ret2_atr,0.02501595072944649
12,2,ret3_atr,0.021770630393884507
12,2,ret4_atr,0.019300267142006854
12,2,ret5_atr,0.014308662748465227
12,2,tod_sin,-0.014485490898830892
12,2,tod_cos,0.012481563354695673
12,2,dow_sin,-0.03554439990079167
12,2,dow_cos,-0.05577494514535025
12,2,session_asia,-0.029831512037217664
12,2,session_london,-0.0020820964701640317
12,2,session_newyork,0.01604450931557771
12,2,session_london_ny_overlap,-0.0072142192056678075
13,3,close_ema20_atr,0.04743959824088995
13,3,close_ema50_atr,0.04293547690371442
13,3,close_ema200_atr,0.05284547756500787
13,3,ema20_ema50_atr,0.033898940139403026
13,3,macd_hist_atr,0.036331982154345355
13,3,roc20_atr,0.03928950320239643
13,3,atr_close,-0.0654402470750326
13,3,atr_fast_slow,0.0036544063680899624
13,3,bb_width_close,-0.06584402474560291
13,3,range_atr,0.024948791101624703
13,3,upper_wick_ratio,0.004060324142441449
13,3,lower_wick_ratio,-0.01174604933515549
13,3,ret1_atr,-0.014891462768391248
13,3,ret2_atr,-0.004342601602807986
13,3,ret3_atr,0.005613813932722745
13,3,ret4_atr,0.014844022950207461
13,3,ret5_atr,0.03665632753046971
